iter	Ve_CVenmol(1)	Ve_CLivmol(1)	Ve_CKidmol(1)	Ve_CBrnmol(1)	Ve_TotCTCOHmol(1)	Ve_TotLivTCOHmol(1)	Ve_TotBrnTCOHmol(1)	Ve_CPlasTCAmol(1)	Ve_CLivTCAmol(1)	Ve_CKidTCAmol(1)	Ve_CBrnTCAmol(1)	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnPKidTCAC(1)	M_lnPBrnTCAC(1)	M_lnPKidTCOGC(1)	M_lnPBrnTCOGC(1)	M_lnPLivDCVGC(1)	M_lnPLivDCVCC(1)	M_lnPLivNDCVCC(1)	M_lnkTSD(1)	M_lnkAS(1)	M_lnkAD(1)	M_lnVMaxC(1)	M_lnVMaxDCVGC(1)	M_lnClDCVGC(1)	M_lnkDCVGC(1)	M_lnkDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISOx(1)	M_lnISTCA(1)	M_lnISConj(1)	M_lnISkDCVG(1)	M_lnISkDCVC(1)	M_lnISkNDCVC(1)	V_lnPKidTCAC(1)	V_lnPBrnTCAC(1)	V_lnPKidTCOGC(1)	V_lnPBrnTCOGC(1)	V_lnPLivDCVGC(1)	V_lnPLivDCVCC(1)	V_lnPLivNDCVCC(1)	V_lnkTSD(1)	V_lnkAS(1)	V_lnkAD(1)	V_lnVMaxC(1)	V_lnVMaxDCVGC(1)	V_lnClDCVGC(1)	V_lnkDCVGC(1)	V_lnkDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISOx(1)	V_lnISTCA(1)	V_lnISConj(1)	V_lnISkDCVG(1)	V_lnISkDCVC(1)	V_lnISkNDCVC(1)	lnVMaxDCVGC(1.1)	lnClDCVGC(1.1)	lnkDCVGC(1.1)	lnkDCVCC(1.1)	lnkElimNDCVCC(1.1)	lnISkDCVG(1.1)	lnISkDCVC(1.1)	lnISkNDCVC(1.1)	lnPKidTCAC(1.1)	lnPBrnTCAC(1.1)	lnPKidTCOGC(1.1)	lnPBrnTCOGC(1.1)	lnPLivDCVGC(1.1)	lnPLivDCVCC(1.1)	lnPLivNDCVCC(1.1)	lnkTSD(1.1)	lnkAS(1.1)	lnkAD(1.1)	lnVMaxC(1.1)	lnVMaxDCVGC(1.2)	lnClDCVGC(1.2)	lnkDCVGC(1.2)	lnkDCVCC(1.2)	lnkElimNDCVCC(1.2)	lnISkDCVG(1.2)	lnISkDCVC(1.2)	lnISkNDCVC(1.2)	lnPKidTCAC(1.2)	lnPBrnTCAC(1.2)	lnPKidTCOGC(1.2)	lnPBrnTCOGC(1.2)	lnPLivDCVGC(1.2)	lnPLivDCVCC(1.2)	lnPLivNDCVCC(1.2)	lnkTSD(1.2)	lnkAS(1.2)	lnkAD(1.2)	lnVMaxC(1.2)	lnVMaxDCVGC(1.3)	lnClDCVGC(1.3)	lnkDCVGC(1.3)	lnkDCVCC(1.3)	lnkElimNDCVCC(1.3)	lnISkDCVG(1.3)	lnISkDCVC(1.3)	lnISkNDCVC(1.3)	lnPKidTCAC(1.3)	lnPBrnTCAC(1.3)	lnPKidTCOGC(1.3)	lnPBrnTCOGC(1.3)	lnPLivDCVGC(1.3)	lnPLivDCVCC(1.3)	lnPLivNDCVCC(1.3)	lnkTSD(1.3)	lnkAS(1.3)	lnkAD(1.3)	lnVMaxC(1.3)	lnVMaxDCVGC(1.4)	lnClDCVGC(1.4)	lnkDCVGC(1.4)	lnkDCVCC(1.4)	lnkElimNDCVCC(1.4)	lnISkDCVG(1.4)	lnISkDCVC(1.4)	lnISkNDCVC(1.4)	lnPKidTCAC(1.4)	lnPBrnTCAC(1.4)	lnPKidTCOGC(1.4)	lnPBrnTCOGC(1.4)	lnPLivDCVGC(1.4)	lnPLivDCVCC(1.4)	lnPLivNDCVCC(1.4)	lnkTSD(1.4)	lnkAS(1.4)	lnkAD(1.4)	lnVMaxC(1.4)	LnPrior	LnData	LnPosterior
64000	3.06187	0.958657	1.00047	1.4751	0.461908	0.417747	0.0350915	2.67458	1.98873	1.1272	1.8096	0.221023	0.785279	0.691245	0.564354	0.250853	0.74403	0.531809	0.748276	0.36964	0.702618	0.0114763	0.0456475	0.653599	-0.478813	-1.5408	0.908867	-0.0480911	-0.615218	3.67359	3.95002	-3.37787	-0.367527	-3.8699	-4.56306	0.527218	0.452507	-4.78694	1.3905	4.5305	-0.865598	4.14306	-4.03098	3.17565	0.0501839	4.61483	0.0808196	0.0883042	0.469362	0.299199	0.215803	2.38734	2.16622	9.18534	0.381713	0.183925	0.107228	0.32692	0.148629	0.0940515	2.25966	0.912052	2.43395	1.36257	2.19914	4.52277	-3.77662	-4.61076	0.0980239	0.783418	-4.85034	4.3049	-4.36669	3.47438	-0.00259997	-2.43707	-0.772892	-1.22701	0.413132	-0.887344	0.0216317	2.41862	4.42715	-4.48778	-0.633909	-4.53859	-4.28928	0.452012	0.462011	-4.75803	3.20673	-4.23616	4.10754	0.0281318	-1.26805	-0.463015	-1.23953	0.750162	0.282005	-0.292993	3.0216	3.44566	-0.778383	-0.167191	-3.93388	-4.04594	-0.421743	0.0618903	-5.17339	3.93662	-4.55589	3.1232	0.273252	2.07165	-0.92283	-1.19638	0.697965	0.767932	-0.858332	3.55503	1.50485	-1.58562	-0.237123	-3.45157	-4.40137	0.730696	1.07704	-4.41187	3.10959	-4.37067	2.81071	0.151758	-3.90728	-0.281906	-1.17444	0.321446	-0.199297	-0.564884	3.32514	2.9446	-4.08077	-1.00566	-1.389862e+02	-2.300055e+02	-3.689917e+02
64100	2.96706	3.21722	1.45076	0.993037	0.474573	0.626847	0.233248	2.64064	0.460671	0.635177	1.44254	0.133483	0.678651	0.678391	0.627916	0.373326	0.793048	0.507936	0.580119	0.454768	0.521653	0.0341263	0.351209	-0.01357	0.524714	-0.773001	0.376707	0.011316	-0.450711	3.21328	0.882126	-6.08058	-0.470269	-3.64009	-4.52548	0.407673	0.440705	-4.7956	-0.381863	1.4351	-4.42218	4.31983	-3.08708	2.93533	0.039835	1.94795	0.253968	0.0714879	0.194771	0.263965	0.0473557	4.04917	5.82162	2.51187	0.283964	0.185342	0.100368	0.940243	0.357368	0.290105	13.8719	1.50819	1.18892	1.73367	1.06745	5.3642	-4.31297	-4.48148	0.778084	0.381079	-5.18497	3.14563	-4.42542	-2.54789	0.432113	-1.79381	0.651248	-0.683795	0.0824581	-0.22619	-0.475694	2.29247	2.66427	-7.11278	-0.65724	-3.69769	-4.62339	1.31978	0.163896	-4.2226	3.32727	-3.71991	4.22429	0.759147	-1.33832	-0.512334	-0.420189	-0.726651	0.269728	-0.550707	3.21593	3.9593	-2.14978	-0.452293	-4.29366	-4.25678	-0.20439	-0.45337	-5.32384	4.30741	-3.59002	-1.21824	0.431255	-1.78265	0.0214865	-0.903365	0.191287	-0.0230385	-0.623881	4.21495	4.57107	-1.56076	-0.29429	-3.64145	-4.61492	0.612168	0.626147	-5.19215	2.38271	-3.40646	1.16077	0.0982779	-3.52719	0.189799	-1.13271	0.689717	0.208912	-0.301152	2.85658	2.99952	-6.0861	0.000101216	-1.601767e+02	-2.387711e+02	-3.989478e+02
64200	3.19187	2.91918	1.52954	1.40333	0.760999	0.775437	0.0680459	1.47824	0.708226	2.29792	2.95419	0.203207	1.00211	0.733055	0.555756	0.202433	0.61423	0.445879	0.329351	0.561817	0.695824	0.011527	0.297009	-0.434735	0.752865	-1.00252	0.23176	0.713342	-0.869006	1.61146	2.85216	-2.19294	-0.677987	-4.2863	-4.44959	0.749498	-0.556631	-4.92834	-1.62626	-4.16492	2.13912	3.62519	-4.0211	3.71015	0.117383	0.646007	0.0341828	0.127173	0.244668	0.1097	0.0960086	1.98509	1.84978	2.38327	0.275282	0.378482	0.0652793	0.235508	0.232713	0.200392	1.77757	10.2087	1.29861	2.16494	3.53801	1.22839	-4.94181	-4.14843	0.948661	-0.916235	-5.30202	3.62023	-4.57101	3.9957	0.705188	-2.32454	0.702167	-1.23872	-0.296612	0.996355	-0.504704	3.30227	4.35256	-1.24979	-0.441932	-5.07973	-4.29274	0.876927	-0.556222	-4.82925	2.98885	-3.48956	3.97946	0.24629	-0.484544	0.776672	-1.07653	0.495756	0.323133	-0.349131	2.84136	2.80487	-1.2849	-0.558132	-4.45573	-4.18114	0.525712	0.115553	-4.88807	4.4321	-4.59762	3.05124	0.5753	-0.695082	0.414584	-0.92551	-0.346726	0.513093	-1.02492	4.71466	3.56024	-1.386	-0.305235	-3.32251	-4.54494	1.31714	-0.719169	-4.91641	2.47303	-3.22519	3.07138	0.510066	-2.58462	0.709968	-1.06381	0.31956	0.826525	-0.442912	2.08545	1.74011	-4.57646	-0.594757	-1.273844e+02	-2.374682e+02	-3.648526e+02
64300	3.2505	1.81461	0.97311	1.86453	0.700219	0.750867	0.330594	1.29314	0.316329	1.63162	3.16766	0.138962	0.875111	0.719808	0.77878	0.308026	0.733834	0.590059	0.573878	0.657745	0.558117	0.0148916	0.337076	0.0449445	1.32275	-0.640189	0.160169	0.202225	-0.411473	0.519491	2.73326	-6.01263	0.274262	-4.64314	-4.04966	1.01001	-1.23553	-4.34342	1.19828	4.45035	-2.42543	4.08637	-3.87085	1.96956	0.0659122	1.43182	0.14728	0.0589468	0.0622079	0.106435	0.172115	2.41542	1.74412	40.3206	0.779761	0.164541	0.247023	0.0582505	0.728532	0.0856745	1.57212	3.19233	3.71279	1.71948	2.58524	2.73584	-4.88227	-3.71305	1.01856	-1.91824	-4.1448	4.25759	-2.90318	0.807946	0.271488	-1.94635	2.07585	-0.667207	-0.152826	-0.346101	-0.969685	0.456718	3.92442	4.55681	-0.569982	-4.9549	-3.96185	1.16801	-0.190378	-4.72019	2.93638	-3.17821	4.51569	0.215886	-0.414634	1.79071	-0.56367	0.315377	-0.182636	-0.506302	1.66108	2.5212	-1.45871	-0.461696	-5.47109	-3.66081	1.38935	-0.205669	-4.11127	2.63303	-3.95416	-0.474672	0.273796	-0.405195	0.878812	-0.885907	0.103061	0.69438	-0.162889	1.57505	1.25169	-1.90895	-0.317779	-4.71454	-4.93989	0.992861	-0.289016	-4.54044	2.69041	-3.92043	1.88218	0.251374	-2.01799	1.50582	-0.829477	0.167002	0.418403	-0.624475	-0.379699	3.47012	-4.51918	-0.204869	-1.424716e+02	-2.423908e+02	-3.848623e+02
64400	2.33803	2.13022	0.853227	1.92558	0.495587	0.4073	0.0502508	1.30434	0.416227	1.4905	3.12949	0.0944225	0.825077	0.641246	0.596251	0.353547	0.674066	0.402835	0.549121	0.315006	0.524665	0.016091	0.324233	-0.575708	-0.43321	-1.83422	-0.544432	0.300541	-0.306955	4.27449	2.71581	-1.59249	-1.10336	-4.23981	-4.98445	1.88209	-0.759908	-5.28431	2.70883	4.13667	-3.10665	3.26173	-3.19876	3.32267	0.0477231	0.140363	0.419741	0.080903	0.109788	0.0633082	0.200129	1.79408	2.84666	4.26156	0.816586	0.233304	0.230268	0.166705	0.13357	0.185922	2.24437	2.07604	4.96401	1.32168	7.54365	2.19124	-4.83066	-4.41635	1.56089	-1.12895	-5.11961	3.74247	-4.06249	1.95948	-0.215895	-0.142217	1.21977	-1.84099	-0.457758	0.442674	-0.508453	2.86069	3.2701	1.69865	-0.392061	-4.18029	-4.37179	1.7086	-0.531227	-5.07842	2.87915	-2.69467	4.47276	0.228758	-0.270419	-1.47888	-1.64336	-0.547742	0.094521	0.0569465	4.03806	3.49865	-1.39587	-0.200708	-3.85283	-4.5737	1.92154	-1.09948	-5.18971	2.75057	-3.56153	3.25231	0.435912	-0.719317	0.0469275	-1.90928	-0.290172	0.692809	-1.22856	2.52923	0.738767	-1.63572	-0.72846	-3.50301	-5.17293	2.19631	-0.279342	-5.22687	1.62185	-1.6906	3.71007	0.436555	-1.13649	0.712365	-1.80663	-0.992619	-0.00181023	-0.274777	2.38115	2.40276	-6.94345	-0.262291	-1.311683e+02	-2.381023e+02	-3.692707e+02
64500	3.22583	0.992157	0.919087	1.38826	0.433106	0.814967	0.241952	1.13783	0.470689	2.62222	2.11466	0.0946597	0.764655	0.714466	0.58306	0.332016	0.665203	0.414733	0.284853	0.449907	0.672547	0.0166516	0.0313895	-0.34454	0.0725605	-2.23166	-0.384792	0.44528	-0.324045	2.96187	3.39856	-5.28638	-0.155593	-4.763	-4.33161	2.15813	-0.94122	-5.47144	3.80281	3.73327	3.09251	4.16869	-3.37524	2.69616	0.0384524	0.109353	0.112457	0.0465106	0.819947	0.0804339	0.123217	1.5638	1.68792	7.351	0.216134	0.0801232	0.0904058	0.173092	0.131462	0.496106	7.75415	1.07236	3.1684	3.06044	1.81088	1.22613	-5.23086	-3.37551	1.80256	-1.39631	-4.77653	2.80691	-3.33361	4.16464	0.106904	-0.76955	0.14734	-2.48258	-0.108761	0.132807	-0.501202	2.2759	2.85094	-6.63077	-0.751114	-4.60092	-4.17693	1.57305	-0.900394	-5.09126	3.27688	-2.50369	4.14881	-0.143213	-0.370591	-0.16311	-2.22949	-0.552625	0.173614	0.400677	4.21174	4.04208	-1.33046	-0.340525	-4.88679	-4.27826	2.08835	-0.550401	-5.66042	-0.00204208	-3.36389	1.42309	0.0391454	-0.924681	0.566698	-2.59046	1.67583	0.39285	-0.62604	2.34371	1.94699	-1.34737	0.00411871	-4.39991	-4.424	1.36448	-1.65529	-6.35172	2.97366	-0.824518	2.86892	-0.0229819	-0.465619	0.0327252	-1.94287	-0.938579	0.509847	-0.616658	2.31605	2.27046	-6.23723	-0.291417	-1.290019e+02	-2.393175e+02	-3.683195e+02
64600	3.15547	2.24335	1.13535	3.05036	0.875875	0.190672	0.132146	1.3051	0.39313	1.90678	2.89772	0.142673	0.74894	0.842106	0.588783	0.431863	0.717373	0.849154	0.603266	0.590411	0.602083	0.0101457	0.701944	-0.761188	-1.33085	-1.97426	0.0324511	-0.507792	-0.289568	2.34002	2.39435	-5.11556	-0.0623466	-4.37389	-4.1747	2.12817	-0.375494	-4.03464	-2.1774	-2.70937	-1.17602	1.47749	-0.644617	4.51581	0.0265289	0.15569	0.865251	0.0464482	0.165928	0.0670692	0.0725673	3.88623	5.65026	7.13716	0.28208	0.292753	0.100855	0.64052	0.212646	0.115296	0.803544	1.92725	38.6209	1.98744	4.13061	3.13488	-4.3793	-3.98948	1.76912	-0.800658	-3.51749	3.12917	-3.32223	1.56713	0.811425	-1.33074	1.46646	-1.75534	0.226535	-0.901803	-0.153315	-0.837987	2.89729	-7.10851	-0.566621	-4.54256	-4.07687	1.85388	-1.00968	-4.80824	3.1838	-2.55888	3.55718	0.674287	-0.693173	-0.521284	-1.62194	-0.170356	-0.306554	0.211141	1.39753	1.30464	-1.09472	-0.302121	-4.53288	-4.0345	2.80784	-1.09587	-4.35302	0.322274	-2.27238	4.01201	0.693345	-1.44258	-1.32766	-2.06761	0.668075	-0.120266	-0.512005	1.66483	1.69689	-0.98618	0.375992	-3.8445	-4.25092	1.71009	-1.30812	-3.59999	2.13281	-1.6095	3.17385	0.817532	-0.994011	-2.1851	-1.61199	-0.113875	-0.700517	-0.459042	3.20622	3.01611	-5.87642	-0.398525	-1.556706e+02	-2.350839e+02	-3.907545e+02
64700	2.90353	0.853879	1.41046	0.657092	0.604946	0.573484	0.0131433	1.12566	0.7802	1.33997	3.14286	0.096174	0.799358	0.606144	0.484618	0.405009	0.573284	0.771338	0.430295	0.493982	0.725355	0.0113303	0.384253	-0.84326	-1.83649	-0.947763	-0.563628	-0.153769	-0.404769	1.47637	3.86713	-2.0842	-0.400843	-4.01782	-4.54936	1.39906	-2.10193	-4.9324	0.331108	-3.01816	-3.74799	2.10231	-2.30269	3.35329	0.0435608	0.0871215	0.134	0.164804	0.141472	0.233157	0.120084	1.67175	4.82571	6.4087	0.57328	0.218153	0.445933	1.32037	0.448442	0.11255	3.60727	0.924289	4.46048	5.59712	1.30791	2.75723	-3.86595	-5.61833	0.818413	-1.99978	-5.12492	3.38218	-1.75992	4.43896	0.244366	-0.987532	-1.64125	-1.41823	-0.281635	-0.274282	-0.58567	1.02626	6.76075	-0.658299	-0.853096	-4.44032	-4.67232	0.465502	-1.32645	-4.53616	3.87809	-1.50217	4.12242	0.497475	-1.01571	-2.20791	-0.602548	-0.176438	-0.349774	-0.146986	1.77536	5.22008	-2.72838	-0.811731	-4.34435	-4.4515	3.84104	-1.11438	-4.52143	0.196778	-2.25516	4.35047	0.444738	-0.985309	-2.28899	-0.578302	0.124338	-0.273986	-0.737015	1.70166	0.69643	-2.07368	-0.786427	-4.07619	-4.84669	2.74071	-1.31859	-4.99264	1.78264	-1.95933	4.44832	0.321772	-0.385871	-1.71111	-1.34156	-1.2036	0.0836789	-0.485781	2.93438	2.87333	-6.51877	-0.698088	-1.399329e+02	-2.353954e+02	-3.753283e+02
64800	2.68625	0.521815	0.923958	2.06837	0.363229	1.41701	0.0225263	1.56313	0.457957	1.27477	0.987903	0.131558	0.829908	0.499072	0.649354	0.30664	0.631643	0.329128	0.543383	0.611653	0.75776	0.0138534	0.100864	-0.669393	-4.18387	-0.52656	-0.302339	-0.447312	0.0770845	3.62147	5.9138	-6.86719	-0.672958	-4.07948	-4.36789	1.799	-1.33342	-4.52355	0.778191	3.31317	-0.70711	2.88923	-2.19981	4.16852	0.142459	0.653651	0.230106	0.0661287	0.0326352	0.450592	0.0511632	1.07633	5.15066	7.44681	0.231066	0.104068	0.0756397	0.225069	0.339963	0.0965388	1.0699	2.72389	5.11023	1.1475	0.977412	0.878558	-3.92613	-4.55344	0.928063	-2.02648	-4.20837	4.26848	-2.22568	4.09514	-0.0232897	-1.26289	-3.31867	-0.626024	-0.521611	-0.135558	-0.165306	3.83379	4.92762	-6.57874	-0.992319	-3.84925	-4.83495	1.3697	-1.69342	-4.35535	3.10505	-1.91615	3.00426	-0.140683	-1.43428	-4.19536	-0.584485	-0.392012	0.0368158	0.0859822	2.78517	6.82172	-6.42651	-0.581982	-4.79742	-4.42199	2.03963	-0.714776	-4.78434	1.59881	-1.64903	4.00182	0.0651988	-1.42059	-4.15494	-0.599182	-0.204179	-0.873097	-0.494862	2.27317	1.60459	-2.43485	-0.558988	-4.08455	-4.08723	1.64398	-1.26983	-4.66016	3.17548	-2.24626	2.40115	-0.245075	-2.83752	-3.78812	-1.19185	-0.593807	-1.05623	0.0214914	3.13843	2.71159	-7.08149	-0.719663	-1.275234e+02	-2.423802e+02	-3.699036e+02
64900	3.26987	1.93611	1.68506	2.35885	0.472532	2.21792	0.128208	1.09345	0.45317	0.764627	2.82228	0.093345	0.902344	0.710548	0.568654	0.239466	0.646612	0.565231	0.29663	0.466563	0.540741	0.0107693	0.592693	-0.0787371	-3.7686	-0.687379	-0.917213	-0.278943	0.00228876	1.86458	3.10789	-4.68486	-0.29747	-3.90495	-5.02052	1.55057	-0.930651	-5.47757	3.00933	2.52919	-1.79447	2.32682	-1.79172	-1.91033	0.14662	0.592035	0.117564	0.0469152	0.210793	0.0503766	0.0889216	2.20362	2.05368	4.7533	0.380311	0.0965825	0.111458	0.289408	0.690632	0.509325	2.15637	1.03411	2.75413	1.53074	1.25714	12.8957	-3.46476	-4.87561	2.49437	-1.6764	-5.69807	2.45523	-2.45032	-2.42385	0.355901	0.290958	-3.55678	-0.826735	-0.764402	-0.0371715	0.408343	4.52841	4.78073	-6.94137	-1.0778	-3.92458	-4.91859	1.43033	-1.72095	-4.3552	3.35905	-1.65218	2.62836	1.06867	-0.09445	-3.36203	-0.520477	-0.604057	-0.250209	0.348432	2.10132	4.75588	-4.96123	-1.00244	-4.30163	-4.73755	2.15488	-0.824937	-5.95872	2.37508	-2.09476	-3.15937	0.67371	-0.129207	-4.17195	-0.4377	-0.551784	-0.560715	0.0362555	2.30983	1.95542	-2.18975	-0.851287	-3.48796	-4.68413	2.94508	-1.46935	-5.60714	1.92646	-1.851	-3.56426	0.504829	-1.57645	-3.6998	-0.763717	-0.761741	0.151054	0.506489	1.9191	 1.25	-6.262	-1.03167	-1.411383e+02	-2.409658e+02	-3.821042e+02
65000	3.19205	1.33534	0.465987	1.75688	0.462872	0.844283	0.0352358	1.56784	0.837104	0.861817	2.99921	0.15778	1.00948	0.766425	0.44535	0.240843	0.72243	0.564856	0.573513	0.591156	0.658723	0.0354358	0.488736	-0.88626	-4.22011	-0.841489	-0.14799	-0.97563	0.24405	4.81461	3.7992	-4.95656	-1.13669	-2.83682	-5.26352	1.8839	-1.24155	-3.21068	-0.557611	3.99501	4.57486	3.36549	-1.54199	-0.756083	0.0197456	0.358848	0.096546	0.176657	0.103076	0.0356838	0.0555693	1.62527	4.85344	3.58459	0.321815	0.167437	0.578368	0.0886091	0.10273	0.224847	1.88985	4.14879	5.66409	6.17602	1.50865	19.5437	-3.21951	-5.33843	1.45692	-1.86319	-2.24449	2.86202	-2.04626	-3.6333	0.496815	-2.26723	-4.30975	-0.945675	-0.198544	-0.531172	0.383095	3.67271	6.7766	-6.97675	-0.906893	-3.0898	-4.99114	1.77761	-0.933771	-3.52828	2.96255	-1.81115	2.56805	0.582841	-1.25052	-4.57698	-0.342828	-0.319207	-0.636168	0.284539	2.79514	4.87689	-4.30669	-0.814688	-2.82551	-4.70015	2.4038	-1.06189	-2.86968	1.79869	-1.32929	1.68717	0.463372	-0.815076	-4.30592	-1.18576	0.070532	-1.07501	0.108128	4.1015	2.66352	-1.50477	-0.648113	-2.79105	-5.63528	2.29015	-1.33975	-3.56539	2.00815	-0.875109	-1.60094	0.447004	-1.47698	-4.38097	-1.56028	-0.385734	-0.977096	0.0168296	3.22585	4.04049	-7.05284	-0.957548	-1.334594e+02	-2.430579e+02	-3.765173e+02
65100	2.55611	2.17886	0.959521	1.54612	0.520691	0.288779	0.0352273	1.64679	1.05144	0.907378	1.55002	0.167766	0.932196	0.613094	0.862435	0.354306	0.703061	0.475941	0.446121	0.417844	0.715302	0.0115943	1.1372	0.328369	-3.61167	-1.42663	-0.538682	-1.15433	-0.424103	3.64963	2.65687	-4.58227	-0.574639	-3.16912	-4.96447	1.58841	-1.04435	-4.70411	-1.4272	3.58716	-3.7552	4.113	-0.520701	3.1964	0.035833	18.7386	0.0596197	0.117421	0.0562986	0.0994196	0.237637	10.3312	1.18608	3.38116	0.235303	0.391176	0.151367	0.156624	0.203049	0.136883	1.29647	3.35852	1.4594	2.40002	1.93352	2.3638	-4.0231	-5.3202	1.82398	-0.779103	-5.20976	2.8387	-2.15822	3.35937	1.11677	-3.26408	-3.63209	-1.4102	-0.497952	-1.26224	-0.0633159	0.505495	3.14219	-4.39101	-0.41962	-3.7936	-5.35057	1.4064	-0.639271	-4.12487	3.06779	-1.58944	3.87166	0.901124	-1.79259	-3.72549	-1.44107	-0.552951	-0.745186	-0.272945	3.88821	2.90645	-0.427335	-0.471075	-3.6452	-5.00449	1.54001	-0.95748	-4.72056	2.5485	-0.933796	2.75468	1.07547	2.37585	-3.27279	-1.43595	-0.536178	-1.57147	-1.18849	2.63147	1.763	-1.45378	-0.448391	-2.40951	-4.87514	1.12441	-1.79991	-5.36414	3.24419	-0.131245	1.71507	1.021	-3.04072	-3.22545	-1.41891	-0.409241	-0.916188	-0.559594	3.32749	3.18885	-6.21386	-0.849994	-1.367909e+02	-2.283060e+02	-3.650969e+02
65200	2.84278	1.84704	0.995829	2.89819	0.46454	0.51806	0.0478533	2.02168	0.480325	0.697826	2.17563	0.175359	0.969233	0.587465	0.679191	0.449891	0.845375	0.996635	0.426387	0.369107	0.861019	0.0146152	0.366658	-0.14027	-2.82229	-1.47282	-0.214869	-1.6275	-0.751977	4.22348	4.15444	-5.17363	0.158609	-2.90832	-4.765	1.53795	-0.662192	-6.12786	-1.23628	0.031558	2.97365	2.03449	-2.63333	4.3184	0.0762741	2.20796	0.195514	0.0719719	0.0443316	0.327372	0.252807	2.38318	6.59262	6.83483	0.363303	0.0535553	0.136925	0.111059	0.128266	0.275678	1.91089	1.45524	3.28306	1.48757	4.18863	2.69497	-3.17982	-4.73146	1.65286	-0.702021	-6.66054	2.98837	-1.93606	2.85827	0.769284	-1.37481	-2.57139	-1.25281	-0.237725	-2.06285	-0.150744	4.17537	4.98023	-7.03722	-0.745365	-3.03566	-5.1556	1.56995	-0.531141	-5.24745	2.87067	-1.5239	4.16735	0.842732	-1.00394	-2.38244	-1.94346	-0.217224	-1.32037	0.0983393	4.89346	3.73442	-0.696183	-0.43127	-3.25338	-4.83654	1.72745	-0.646981	-6.08097	2.28299	-1.25989	3.07863	0.324533	-1.04464	-2.18664	-0.996926	-0.526595	-1.57074	-0.685043	2.55032	2.15241	-2.16404	-0.0522085	-2.74396	-4.91467	1.88146	-0.564513	-5.77406	3.00798	-0.820405	4.292	0.370602	-3.17352	-3.02336	-1.43194	-0.123763	-2.22201	-1.13172	4.22428	4.71187	-6.05875	-0.931601	-1.353978e+02	-2.347095e+02	-3.701074e+02
65300	2.29365	0.799363	0.825849	2.95016	0.777052	0.636846	0.0789413	2.77173	0.428304	1.0494	1.31748	0.130851	0.72774	0.685261	0.62923	0.429188	0.737048	0.409193	0.275526	0.3511	0.700832	0.0115429	0.236188	-0.124267	-0.529509	-1.16462	-0.33216	-2.64804	-0.391128	3.52086	2.41144	-4.46826	-0.382041	-4.68939	-4.63047	0.735268	-0.707924	-4.72969	3.05036	4.45872	-1.33083	3.97603	-1.01277	2.38423	0.0728366	6.85353	0.351274	0.0494408	0.0505684	0.370659	0.094141	3.6705	16.3264	2.98527	0.576975	3.27121	0.111607	0.0980879	0.0860384	0.317444	2.66035	3.44503	1.305	1.83368	1.39977	3.57003	-4.99023	-4.60105	0.753473	-0.820582	-3.57028	3.27012	-1.17226	-0.187713	-0.128017	-1.45028	-0.528083	-1.25763	-0.201054	-2.2446	-0.526159	3.34725	4.39537	-5.53131	-0.753679	-4.90072	-4.66602	1.23698	-0.84122	-4.10493	2.76577	-1.33705	3.12415	0.653533	-1.72492	-0.669847	-1.37736	0.174274	-1.18968	-0.0823502	3.87086	4.02993	-0.796478	-0.414277	-3.97167	-4.81952	0.663943	-0.561235	-4.31704	2.82362	-0.289872	0.721165	0.588287	3.20692	-1.24227	-0.651345	-0.0806756	-2.70161	-1.087	2.00214	1.8597	-1.81671	-0.079308	-1.10105	-5.00671	1.02805	-1.18198	-5.48677	2.80174	-0.875729	1.54885	0.00769151	-4.60403	-0.659329	-1.15198	-0.245188	-1.40548	-0.0276528	3.49641	3.11389	-6.42964	-0.752162	-1.660791e+02	-2.225771e+02	-3.886562e+02
