iter	Ve_CVenmol(1)	Ve_CLivmol(1)	Ve_CKidmol(1)	Ve_CBrnmol(1)	Ve_TotCTCOHmol(1)	Ve_TotLivTCOHmol(1)	Ve_TotBrnTCOHmol(1)	Ve_CPlasTCAmol(1)	Ve_CLivTCAmol(1)	Ve_CKidTCAmol(1)	Ve_CBrnTCAmol(1)	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnPBrnC(1)	M_lnPKidTCAC(1)	M_lnPBrnTCAC(1)	M_lnPKidTCOHC(1)	M_lnPBrnTCOHC(1)	M_lnPKidTCOGC(1)	M_lnPBrnTCOGC(1)	M_lnPLivDCVGC(1)	M_lnPKidDCVGC(1)	M_lnPBrnDCVGC(1)	M_lnPBodDCVGC(1)	M_lnPLivDCVCC(1)	M_lnPKidDCVCC(1)	M_lnPBrnDCVCC(1)	M_lnPBodDCVCC(1)	M_lnPLivNDCVCC(1)	M_lnPKidNDCVCC(1)	M_lnPBrnNDCVCC(1)	M_lnPBodNDCVCC(1)	M_lnkDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISkNDCVC(1)	V_lnPBrnC(1)	V_lnPKidTCAC(1)	V_lnPBrnTCAC(1)	V_lnPKidTCOHC(1)	V_lnPBrnTCOHC(1)	V_lnPKidTCOGC(1)	V_lnPBrnTCOGC(1)	V_lnPLivDCVGC(1)	V_lnPKidDCVGC(1)	V_lnPBrnDCVGC(1)	V_lnPBodDCVGC(1)	V_lnPLivDCVCC(1)	V_lnPKidDCVCC(1)	V_lnPBrnDCVCC(1)	V_lnPBodDCVCC(1)	V_lnPLivNDCVCC(1)	V_lnPKidNDCVCC(1)	V_lnPBrnNDCVCC(1)	V_lnPBodNDCVCC(1)	V_lnkDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISkNDCVC(1)	lnkDCVCC(1.1)	lnkElimNDCVCC(1.1)	lnISkNDCVC(1.1)	lnPBrnC(1.1)	lnPKidTCAC(1.1)	lnPBrnTCAC(1.1)	lnPKidTCOHC(1.1)	lnPBrnTCOHC(1.1)	lnPKidTCOGC(1.1)	lnPBrnTCOGC(1.1)	lnPLivDCVGC(1.1)	lnPKidDCVGC(1.1)	lnPBrnDCVGC(1.1)	lnPBodDCVGC(1.1)	lnPLivDCVCC(1.1)	lnPKidDCVCC(1.1)	lnPBrnDCVCC(1.1)	lnPBodDCVCC(1.1)	lnPLivNDCVCC(1.1)	lnPKidNDCVCC(1.1)	lnPBrnNDCVCC(1.1)	lnPBodNDCVCC(1.1)	lnkDCVCC(1.2)	lnkElimNDCVCC(1.2)	lnISkNDCVC(1.2)	lnPBrnC(1.2)	lnPKidTCAC(1.2)	lnPBrnTCAC(1.2)	lnPKidTCOHC(1.2)	lnPBrnTCOHC(1.2)	lnPKidTCOGC(1.2)	lnPBrnTCOGC(1.2)	lnPLivDCVGC(1.2)	lnPKidDCVGC(1.2)	lnPBrnDCVGC(1.2)	lnPBodDCVGC(1.2)	lnPLivDCVCC(1.2)	lnPKidDCVCC(1.2)	lnPBrnDCVCC(1.2)	lnPBodDCVCC(1.2)	lnPLivNDCVCC(1.2)	lnPKidNDCVCC(1.2)	lnPBrnNDCVCC(1.2)	lnPBodNDCVCC(1.2)	lnkDCVCC(1.3)	lnkElimNDCVCC(1.3)	lnISkNDCVC(1.3)	lnPBrnC(1.3)	lnPKidTCAC(1.3)	lnPBrnTCAC(1.3)	lnPKidTCOHC(1.3)	lnPBrnTCOHC(1.3)	lnPKidTCOGC(1.3)	lnPBrnTCOGC(1.3)	lnPLivDCVGC(1.3)	lnPKidDCVGC(1.3)	lnPBrnDCVGC(1.3)	lnPBodDCVGC(1.3)	lnPLivDCVCC(1.3)	lnPKidDCVCC(1.3)	lnPBrnDCVCC(1.3)	lnPBodDCVCC(1.3)	lnPLivNDCVCC(1.3)	lnPKidNDCVCC(1.3)	lnPBrnNDCVCC(1.3)	lnPBodNDCVCC(1.3)	lnkDCVCC(1.4)	lnkElimNDCVCC(1.4)	lnISkNDCVC(1.4)	lnPBrnC(1.4)	lnPKidTCAC(1.4)	lnPBrnTCAC(1.4)	lnPKidTCOHC(1.4)	lnPBrnTCOHC(1.4)	lnPKidTCOGC(1.4)	lnPBrnTCOGC(1.4)	lnPLivDCVGC(1.4)	lnPKidDCVGC(1.4)	lnPBrnDCVGC(1.4)	lnPBodDCVGC(1.4)	lnPLivDCVCC(1.4)	lnPKidDCVCC(1.4)	lnPBrnDCVCC(1.4)	lnPBodDCVCC(1.4)	lnPLivNDCVCC(1.4)	lnPKidNDCVCC(1.4)	lnPBrnNDCVCC(1.4)	lnPBodNDCVCC(1.4)	LnPrior	LnData	LnPosterior
16000	2.61486	3.18088	0.233343	2.48209	0.510546	1.14515	0.109547	1.907	0.631158	3.14153	2.99797	0.462165	1.04917	0.639724	0.787335	0.670155	0.808809	0.0251839	0.525749	0.724614	0.748337	0.0102824	0.0120896	0.414248	-0.863648	0.180401	0.720214	1.79419	-2.54835	2.18309	2.13724	2.18748	0.753241	-2.7279	-0.881281	0.277048	1.54152	0.369429	1.24503	-1.3236	-3.00979	-0.842455	-1.16773	0.0718047	0.0825363	0.318232	0.0351271	0.0440379	0.0544548	0.130428	0.0833592	0.0818877	0.154856	0.0307099	0.101538	0.0545549	0.0781556	0.37632	0.138859	0.10225	0.0349766	0.142488	0.0914584	0.163984	0.350118	1.30103	-0.926466	0.462571	-2.59978	-0.32253	0.456256	-0.861064	0.327736	0.784889	2.02856	-2.70745	2.34169	2.08019	2.04468	0.927439	-3.17273	-0.642056	0.138918	1.607	0.0958697	1.68608	-1.63323	-3.17416	-0.623872	-1.04225	-0.26165	-0.0339257	0.818544	-0.922749	0.291608	0.605819	1.48583	-2.32116	2.02732	1.92905	2.29843	0.854731	-2.21517	-0.992788	-1.96202	1.86115	0.579621	0.981696	-1.76389	-3.47522	-1.17887	-1.0305	1.22035	-0.337107	0.577646	-0.794544	0.103863	1.00006	1.47328	-2.46255	2.48984	2.21133	2.11664	0.750531	-2.55792	-1.34518	-0.81345	1.68854	-0.373783	1.09771	-1.10085	-2.75432	-1.11956	-1.15993	-0.228305	-0.447472	0.110281	-1.05957	0.310013	0.423632	2.04295	-2.52895	2.29829	1.88248	2.12891	1.00901	-2.96774	-0.742189	0.349409	1.56767	0.467607	0.972872	-1.21138	-3.36097	-6.138962e+01	-2.686834e+02	-3.300730e+02
16100	2.81547	1.99798	0.445635	1.49279	0.674918	1.37209	0.208073	1.7379	0.623312	1.84986	3.07776	0.457385	1.12179	0.49572	0.488966	0.56591	1.08302	0.0118662	0.38982	0.836629	0.620871	0.010405	-0.427206	0.399154	-0.0709598	-0.633416	0.122154	1.53372	-2.15729	2.95194	2.67306	2.27089	0.645795	-2.56137	-0.98733	-0.232749	3.17869	0.036333	0.775093	-1.65985	-4.46567	-0.882169	-1.91218	0.387844	0.12364	0.318341	1.13098	0.0849593	0.184012	0.114595	0.135486	0.423981	0.306052	0.141125	0.0828305	0.0606134	0.108765	0.710034	0.334241	0.108971	0.0937701	0.106992	0.0831905	0.262783	0.341552	2.11963	-0.880416	-1.64098	-1.44777	-0.188093	0.840005	-1.35904	-0.572139	0.834316	1.29815	-2.21461	2.34288	2.2661	2.35495	1.08715	-3.0067	-0.725348	0.0428469	3.34904	0.625087	1.10605	-1.53358	-4.29187	-0.215916	-1.48281	0.325321	-0.516873	0.594441	-2.04598	-0.68965	0.224803	0.72815	-1.23372	2.04219	2.4083	2.44807	0.821188	-2.39126	-0.937623	-2.02653	3.02077	0.782606	0.729534	-1.65403	-4.4702	-0.579982	-1.6202	-0.575362	-0.589103	0.963573	-0.000594613	-0.560381	0.181918	1.79779	-1.09624	2.4983	2.47693	1.38618	1.02466	-2.34163	-0.874085	-0.80497	2.61209	-0.161121	1.51485	-1.91411	-4.53397	-0.281749	-0.692065	-2.12603	-0.711582	0.168229	-2.2787	-0.24227	0.119576	1.44439	-2.32411	2.67539	1.97675	2.68835	0.37078	-2.5373	-0.721065	0.154073	3.75725	0.227203	0.743678	-1.72251	-3.97419	-1.076789e+02	-2.660519e+02	-3.737307e+02
16200	3.28709	2.30352	0.395075	1.45527	0.38891	1.18877	0.293415	2.42805	0.799431	2.12939	2.14622	0.419982	1.09811	0.869308	0.844947	0.464894	0.801934	0.0133891	0.369535	0.546902	0.599038	0.0173499	-0.34881	0.818592	0.359853	0.308558	0.454583	1.32731	-0.852369	1.7948	1.22041	1.22031	2.45978	-2.70981	-0.403918	-0.678203	1.72666	0.496142	0.619383	-1.71358	-3.79483	-0.194457	-2.11183	1.44569	0.10585	0.319446	10.3306	0.0779226	0.0836947	2.5905	0.0788163	0.832197	0.131714	0.125265	0.0681523	0.130067	0.288676	0.711907	0.0501836	0.0675822	0.121519	0.0900502	0.0914934	0.311221	0.101179	3.00378	-0.113221	-2.24543	0.889293	-0.266172	0.773905	-3.78417	0.0767466	-0.203684	2.22974	-1.13186	1.45215	1.14553	0.825469	2.61964	-3.30818	-0.498048	0.170505	1.47323	0.321638	0.251923	-2.04007	-3.59664	0.353879	-2.24868	0.851676	-0.295743	0.986986	0.609992	0.277184	0.734784	-0.322675	-0.899252	1.65011	1.71027	1.29896	2.12747	-2.89218	-0.176841	-2.03835	2.06066	0.860917	0.722767	-1.76879	-4.42134	-0.33586	-2.04533	1.70569	-0.176386	1.1278	0.508558	0.357175	0.397329	0.519288	-0.924113	2.26132	1.2292	0.728024	2.71278	-2.87218	-0.219428	-0.851706	1.95285	0.142606	0.211408	-1.32842	-3.6789	-0.414126	-2.37701	-3.08207	0.0668395	1.06715	-2.93769	0.232605	-0.29696	2.0776	-1.02266	1.69402	0.755954	1.53707	2.88829	-2.27052	-0.273968	0.469349	1.80994	0.223626	0.856361	-1.45163	-4.09577	-1.131182e+02	-2.645784e+02	-3.776966e+02
16300	3.15585	1.59366	0.411047	0.396054	0.412786	0.877403	0.143984	2.04092	0.548185	2.42076	2.8605	0.21992	1.14484	0.964512	0.626882	0.598528	0.837885	0.0115492	0.562397	0.550743	0.823476	0.0134244	-0.65019	0.956686	-0.17384	-0.0945626	0.315462	1.13971	-1.5935	0.955591	0.932887	0.902664	4.53184	-2.92596	-0.304116	-1.13213	1.65283	0.314808	0.19741	-1.74377	-3.52133	-0.0225855	-2.75926	2.68761	0.281495	0.0563985	0.889329	0.0550567	0.0661295	0.0653963	0.0538678	0.0532966	0.0360219	0.13496	0.056217	0.078588	0.0414385	0.546569	0.0643413	0.224607	0.0621786	0.0741461	0.234516	0.0526221	0.139961	1.30148	-0.209235	-2.98433	2.0123	-1.16586	1.09304	-0.278153	0.284391	0.347214	0.983936	-1.46723	0.795119	0.74503	1.03197	4.30521	-2.8781	-0.573872	0.432277	1.71418	0.68556	0.171459	-1.72376	-3.80036	-0.199242	-3.01181	1.60909	-1.17286	0.775387	-0.884976	-0.0163369	0.739641	1.05892	-1.45403	0.941245	0.8714	0.52308	4.35881	-2.43077	-0.441713	-1.73928	1.83739	0.57753	0.240382	-1.7131	-4.3747	-0.0884391	-3.02795	0.873328	-0.804741	0.883913	0.249386	-0.336639	0.635882	0.85407	-1.57982	1.21304	1.00795	1.20131	4.44514	-3.16958	-0.405206	-0.688453	1.85129	-0.551278	-0.078888	-1.70817	-2.43775	0.117886	-3.35135	1.90894	-1.0008	0.854529	-0.933675	-0.0772159	0.06904	1.08623	-1.86315	0.930543	0.773427	1.14452	4.50149	-3.10306	-0.0518099	0.603827	1.59162	0.195375	0.549895	-1.25775	-3.92573	-5.061077e+01	-2.610222e+02	-3.116330e+02
16400	2.18321	1.85191	1.09112	0.995777	0.44932	0.658397	0.195916	2.44761	0.68089	1.29331	2.76567	0.461001	1.05183	0.747298	0.862239	0.498654	0.633979	0.0115871	0.550437	0.679681	0.974657	0.0115025	-0.503602	0.68604	-0.562296	0.176332	0.271357	1.9448	-1.54068	1.11065	2.19519	1.4502	4.48894	-2.34807	0.0492557	-0.890985	3.1811	0.115791	0.695866	-1.59949	-3.57711	-0.276245	-3.58942	2.29724	0.105998	0.0679046	0.0726178	0.0311472	0.0335518	0.0999624	0.0326942	0.0990589	0.0501257	0.290758	0.0740315	0.147301	0.142709	0.672808	0.725839	0.220553	0.0712711	0.140274	0.0732677	0.0708728	0.402005	1.51514	-0.564811	-3.33601	1.02656	-0.858518	0.696163	-0.37877	0.358092	0.281519	2.46794	-1.59125	1.06093	2.12464	0.863217	4.10943	-2.9658	-0.0736648	0.290678	3.1849	0.727565	0.791014	-1.4826	-3.90894	-0.521617	-2.8005	1.6332	-0.4995	0.623526	-0.753194	0.361365	0.472332	1.27876	-1.35564	1.3522	1.82471	1.48203	4.11424	-1.70287	0.228632	-1.81112	2.85987	1.17917	0.783478	-1.44116	-3.67709	-0.186841	-3.1181	3.38086	-0.0950993	0.79228	-0.496311	0.10531	0.234181	1.82526	-1.7912	0.949001	2.17015	0.489984	4.50216	-2.33595	-0.478317	-0.445243	3.49813	-0.531824	0.670848	-2.07714	-3.53121	-0.600967	-3.49087	1.94235	-0.315	0.377254	-0.720913	0.0811346	0.0906209	2.08032	-1.43028	1.2328	2.39388	1.07458	4.55723	-2.4483	-0.0104684	0.418363	2.41274	-0.156246	0.637811	-1.06068	-3.22576	-6.012864e+01	-2.656656e+02	-3.257942e+02
16500	3.29732	3.27189	0.517906	1.25798	1.2325	0.944748	0.246578	2.58733	1.62496	2.51233	2.63753	0.267615	1.03016	0.767814	0.80352	0.455991	0.779627	0.0137679	0.402994	0.686327	0.824481	0.0118093	-0.219435	0.12273	-0.640483	0.257715	0.26401	0.921757	-1.62278	1.32956	2.80992	1.41091	4.41915	-1.92895	0.326617	-0.79436	1.89331	0.773778	0.856258	-2.15198	-1.48251	-0.98143	-2.99423	0.210003	0.0678815	0.0483986	0.148982	0.0283683	0.262617	0.224104	0.770502	0.373923	0.228352	0.112777	0.120204	0.483056	0.0285759	0.533764	0.123067	0.260906	0.0645014	0.245717	0.0328405	0.198832	0.0665373	0.651427	-1.07182	-3.2873	1.13591	-0.538179	0.661841	-1.03326	0.549623	0.599668	1.43604	-0.518223	1.4029	2.4126	1.38495	4.45466	-2.15778	0.108339	0.340638	2.30879	0.273787	1.1385	-2.10248	-1.57011	-0.730967	-3.25125	2.15264	0.00277813	0.384376	-1.08857	0.408878	-0.260803	1.23894	-0.501004	1.07078	2.93233	1.31578	4.44317	-0.971684	0.511856	-1.80645	2.25046	1.23154	0.509205	-1.80913	-1.03281	-1.33833	-3.33982	-0.197994	-0.179544	-0.0471453	-0.409932	0.606667	-0.394781	-0.136135	-1.05039	1.7445	2.80665	1.27139	4.44047	-1.97281	0.584324	-0.730116	2.01749	-0.511594	0.597077	-1.68818	-1.77602	-1.11049	-3.14838	0.479115	-0.678418	0.336884	-1.05232	-0.00972506	0.00492343	1.80649	-2.11979	0.666869	2.42299	0.911729	4.47275	-1.50112	0.356852	0.719654	2.04245	-0.253272	0.992788	-2.61004	-1.83059	-1.034121e+02	-2.620588e+02	-3.654709e+02
16600	2.39324	2.26695	1.11638	0.588614	0.362418	0.533506	0.125998	2.87327	1.10889	2.28573	2.90823	0.281938	1.22207	0.656159	0.69209	0.600871	0.693722	0.0135698	0.570988	0.800876	0.693581	0.0118024	-0.666875	0.325808	-0.50529	-0.434081	0.664965	1.58675	-2.11984	0.996261	1.7016	1.63162	4.14762	-1.94836	0.146868	-0.142145	-0.36891	0.813932	0.332451	-2.14399	-0.828854	-0.571592	-2.78031	1.64344	0.0444608	0.079801	0.165496	0.0393755	0.0745294	0.103328	0.145856	0.0543809	0.129536	0.0676067	0.201035	0.113694	0.111807	0.593593	0.0961433	0.152221	0.122064	0.18944	0.0660038	0.119258	0.176575	1.78867	-0.958189	-3.26342	0.750711	-0.887334	0.0218016	-0.788449	-0.214685	0.881538	1.77338	-1.90078	1.04676	1.76248	1.72135	4.21241	-1.68517	0.686794	0.28682	0.252043	0.258891	0.322543	-2.34313	-0.596714	-0.632971	-3.00314	1.85054	-0.395217	0.322374	-0.401344	-0.610789	0.607353	1.09907	-1.83517	1.09733	1.70783	1.50789	4.46701	-1.30685	0.168118	-1.69856	-0.87348	0.945477	-0.284467	-1.91049	-1.06468	-0.555804	-3.23329	-2.10643	-0.535831	0.27741	-0.368007	-0.178517	0.986536	0.785461	-1.62916	0.890128	1.62024	1.5509	4.56958	-1.6209	0.0377351	-0.450587	-0.190363	0.163839	1.08682	-1.80169	-0.925221	-0.604403	-2.52964	1.45595	-0.701816	0.516535	-1.16	-0.41244	0.167691	1.38934	-2.97553	1.44882	1.81416	1.65508	4.2489	-1.77702	-0.237919	0.457531	-0.202508	1.20154	0.285654	-1.29758	-0.922738	-6.657399e+01	-2.670432e+02	-3.336172e+02
16700	3.21497	3.12174	0.274969	0.568785	0.463953	1.44766	0.178343	2.84195	0.975096	1.5404	3.25961	0.23047	1.08081	0.948517	0.646129	0.547356	0.854351	0.0141682	0.498104	0.54708	0.980237	0.0111198	-0.615476	0.334568	-0.672276	-0.55147	0.223301	1.59104	-0.841526	1.14153	2.16746	1.52546	4.60168	-2.22022	-0.0729735	-0.295398	0.666848	-0.176915	0.778519	-2.1206	-1.46916	-0.990288	-2.91653	3.22321	0.0811954	0.0618301	0.059597	0.0716662	0.0762903	0.15304	0.109875	0.0881095	0.338196	0.118786	0.0614611	0.189332	0.072615	0.976527	0.0515894	0.0722933	0.0897532	0.0704031	0.14717	0.0869744	0.189388	3.45183	-1.05544	-3.51103	3.64038	-0.743193	0.136168	-0.932315	-0.776975	0.0772467	1.18481	-0.455373	0.796046	2.56634	1.39893	4.5161	-2.09757	-0.0881478	0.348505	0.427289	-0.174608	0.67092	-1.75818	-1.65111	-0.889885	-3.06424	2.13225	-0.948533	0.42482	-0.884098	-0.475402	-0.118712	1.75901	-0.5554	1.13611	2.69709	1.78923	4.57032	-1.73559	0.23501	-1.70799	0.513965	-0.0346933	0.803321	-2.00199	-1.63064	-0.837568	-3.53188	0.902349	-0.655934	0.709744	-0.488103	-0.42783	0.511685	1.30422	-1.01545	1.26883	1.53421	1.38268	4.45669	-1.94992	-0.168499	-0.652546	0.790559	-0.342936	0.539006	-2.02835	-2.01941	-1.17052	-2.75555	3.53911	-0.651558	0.448711	-0.444863	-0.659527	0.231889	1.85741	-1.27136	0.91593	1.56975	1.779	4.56271	-1.40026	-0.255084	0.681266	0.276228	-0.115029	1.32935	-2.53043	-1.38214	-4.622873e+01	-2.647164e+02	-3.109452e+02
16800	2.81725	1.63428	0.629634	1.11221	0.529999	1.71263	0.190135	1.70731	0.708958	1.77345	1.74257	0.38566	1.11308	0.756055	0.800541	0.463483	0.754128	0.0113552	0.538998	0.596111	0.789165	0.0148898	-0.426247	0.360691	-0.388434	0.199082	0.521691	1.329	-1.70074	1.00088	1.71228	1.28133	4.45002	-1.79451	-0.0933584	-0.179446	-1.10619	-0.470158	0.0557665	-1.83489	-1.71691	-1.38505	-3.07803	1.39296	0.133173	0.0736047	0.976245	0.0382879	0.041203	0.517566	0.0686795	0.218049	0.176015	0.120618	0.174621	0.0590451	0.0656805	0.670011	0.397611	0.108952	0.123307	0.226134	0.220871	0.160745	0.0739339	1.65908	-1.40056	-2.6563	2.02129	-1.15952	0.368259	-1.95934	0.219727	0.540936	2.67053	-1.96094	0.899907	1.3749	1.87025	3.73966	-2.19899	-0.297364	0.424807	-0.967129	-0.38333	-0.120125	-1.90915	-1.20712	-0.835862	-2.79188	2.08659	-0.610296	0.689576	-0.196672	0.426293	0.594059	0.493893	-1.68058	0.638615	1.83514	1.43264	4.57629	-1.81646	-0.37123	-1.70778	-1.00452	-0.408698	0.190915	-1.94289	-1.15056	-1.23928	-3.14328	1.23194	-0.463161	0.404018	-1.84299	0.00150893	0.702958	0.892913	-1.41766	1.02284	1.87956	1.51296	4.35914	-1.82254	-0.247954	-0.693839	-1.18755	-0.447974	0.0241751	-1.48969	-1.74048	-0.73094	-3.31297	2.20847	-0.815229	0.548962	-2.42887	0.227744	0.339116	1.64463	-1.95853	0.757969	1.98225	1.2453	4.27081	-1.58241	0.297166	0.606027	-2.1452	-0.467768	0.164542	-2.3368	-1.80178	-7.648426e+01	-2.486996e+02	-3.251839e+02
16900	2.75071	1.48391	1.16034	0.93544	0.796543	0.674643	0.191725	2.09963	1.00091	1.37925	2.7212	0.419444	1.07648	0.614867	0.917229	0.712748	0.920044	0.0157373	0.389894	0.506433	0.702224	0.0129209	-0.820599	0.33058	-0.650688	0.306794	0.207475	1.8035	-1.26042	1.79354	2.02004	1.58996	3.86184	-2.1051	-0.673241	-0.447412	-0.100513	0.0265235	-0.0844067	-1.77719	-3.14702	-1.08443	-2.8932	1.23622	0.0779697	0.075758	0.524814	0.0434945	0.0594726	0.377579	0.0595128	0.120379	0.125606	0.0596222	0.173019	0.107151	0.0755329	0.599936	0.175176	0.0542776	0.0607568	0.154948	0.0834614	0.102866	0.226084	2.24893	-1.37946	-3.17521	3.35491	-0.955835	0.185647	-0.0580955	0.601217	0.338515	2.08697	-1.14167	1.45344	1.91479	1.75839	3.55814	-2.2344	-0.595294	0.16979	-0.656331	-0.0952861	0.0259972	-1.41045	-2.81231	-1.29472	-3.15918	1.92132	-0.539945	0.806329	-1.62176	0.482163	0.501673	1.45115	-0.821595	1.80424	2.14318	1.65746	3.38299	-2.375	-0.501027	-2.05474	-0.444969	-0.274684	-0.0854207	-1.62722	-2.84014	-1.44943	-3.6718	1.18614	-1.03861	0.376809	-1.04904	0.577424	0.665309	1.85544	-1.48567	1.54617	2.30354	1.48541	3.70169	-2.19534	-0.769688	-0.676777	-0.152754	0.0104577	-0.167992	-1.05982	-2.81587	-1.20115	-2.71915	1.23989	-0.350908	0.726728	-1.53558	0.400799	-0.0909194	2.90866	-1.09996	1.36376	2.02638	1.80426	4.53174	-2.14427	-0.571027	0.285974	0.263056	-0.312406	0.186758	-1.95888	-3.36317	-6.476145e+01	-2.658264e+02	-3.305878e+02
17000	3.25088	1.5264	0.951132	3.1311	0.571669	1.49727	0.203747	2.10229	0.634499	1.82841	3.0022	0.446571	1.18269	0.768306	0.716999	0.617554	0.833353	0.0115183	0.284624	0.411406	0.857155	0.0129063	0.147346	0.338403	-0.719086	-0.524814	0.366126	1.63056	-1.82257	1.23337	2.30464	1.49364	4.55785	-1.96924	-0.879932	-0.126989	0.841517	0.183864	1.03088	-1.80092	-2.94485	-1.50954	-2.68854	1.24434	0.196739	0.123995	0.331165	0.0801792	0.155999	0.079232	0.0686349	0.037429	0.172797	0.0911317	0.0362049	0.0483524	0.0341972	0.570996	0.059634	0.0769646	0.196215	0.0325727	0.330205	0.115262	0.0762329	1.51316	-1.49799	-2.37601	-0.940635	0.644444	0.189619	-1.87748	-0.535566	-0.354878	1.19191	-1.62057	1.06906	2.81157	1.84391	4.5229	-2.06378	-1.01223	0.323373	0.616839	0.596595	0.843919	-1.83072	-2.86436	-1.08747	-3.1532	2.17962	-0.0884648	0.10518	-1.16841	-0.65321	0.269998	1.70969	-1.27077	0.96072	2.62559	1.61638	4.4641	-1.82846	-0.655815	-1.88698	0.763053	0.126251	0.93907	-1.58549	-2.30596	-1.27772	-2.40931	0.819834	-0.397886	0.147319	-0.593632	-0.899589	0.364218	1.43928	-1.69414	1.45218	1.9449	1.55765	4.42683	-2.13237	-0.712911	-0.791821	0.606411	-0.392586	1.39084	-1.4582	-3.4634	-1.74433	-2.8747	2.00271	0.400919	0.444081	-1.15258	-0.51541	0.164543	1.63837	-1.81471	1.1972	1.95492	1.00293	4.57311	-1.78848	-1.17468	0.503428	0.538524	0.276527	0.930307	-1.52179	-2.15867	-6.206073e+01	-2.668465e+02	-3.289072e+02
17100	2.74195	1.29636	0.76447	2.72344	0.995553	1.09269	0.137049	1.8314	0.457617	1.45801	2.41474	0.275621	0.91571	0.906512	0.692061	0.463755	0.697606	0.0329212	0.478514	0.75985	0.651306	0.0152557	-0.463121	0.487128	-0.965858	-0.0667912	0.221565	2.83001	-2.26151	0.924615	2.53651	1.98912	4.37872	-2.21766	-0.779362	0.401488	1.66713	0.074221	0.707966	-1.56318	-3.17434	-0.867084	-2.94947	3.52439	0.0808169	0.042281	0.200207	0.0700439	0.112861	0.13876	0.130532	0.094242	0.0664438	0.0820746	0.0273252	0.120796	0.0752603	0.765629	0.225321	0.135852	0.11215	0.12069	0.0411459	0.0909659	0.0711728	17.7478	-0.963127	-3.18898	2.95611	-0.620172	0.0465376	-0.861829	-0.198936	0.262261	3.37888	-2.16806	1.24346	2.27386	2.02606	4.56146	-2.05998	-0.596032	0.307011	2.16043	0.402611	0.648897	-1.80584	-3.13307	-0.717939	-2.79275	1.81688	0.140479	0.399201	-1.26091	-0.400939	0.955631	2.78506	-1.90219	1.05161	2.58244	2.12451	4.51057	-2.05015	-0.93537	-1.8356	2.10155	0.0631599	0.643333	-1.80682	-3.30818	-1.00451	-3.10622	3.0915	-0.407639	0.795087	-0.881894	-0.517066	0.944383	1.94698	-2.02756	1.28108	2.87639	1.96887	4.25344	-1.78703	-0.702404	-0.515587	1.69309	-0.358637	0.52888	-1.86124	-3.34103	-0.314805	-3.12139	0.77713	-0.377398	0.142132	-1.30601	0.187839	-0.0256317	2.84743	-2.1703	0.983317	2.94628	1.9249	4.43252	-1.96845	-0.31568	0.566318	2.33869	0.400282	0.86471	-1.34495	-3.15975	-6.656438e+01	-2.667291e+02	-3.332935e+02
17200	3.1121	2.35614	0.533927	1.71574	0.322686	0.91682	0.10877	2.13355	0.518516	2.16378	2.13377	0.489609	1.2011	0.727978	0.760051	0.38246	0.749513	0.0103812	0.413468	0.658095	0.731779	0.0197086	-0.284168	0.347247	-0.576116	0.431797	0.51734	1.6245	-2.23335	0.872028	2.01214	2.09837	4.54169	-2.19982	-1.14759	-0.0951886	1.50235	-0.227391	0.211473	-1.50941	-3.41235	-0.695453	-2.68317	1.80871	0.0714405	0.0979479	0.282832	0.0913368	0.0567276	0.208347	0.178692	0.151581	0.0562083	0.0353477	0.0413826	0.0734586	0.0736511	0.293128	0.298377	0.126975	0.266877	0.104511	0.0783097	0.121262	0.312494	2.30793	-1.56704	-3.3641	1.49199	-0.283995	0.43868	-0.699675	1.03674	0.634672	2.71347	-3.54332	1.13326	1.93067	2.28039	4.54228	-2.57731	-0.879238	0.253949	0.923136	-0.0999633	1.06942	-1.66185	-3.23206	-0.377659	-2.66267	1.69899	-0.0315691	0.420485	-0.919298	0.999641	0.52807	 1.45	-1.60647	0.82807	2.36725	2.0845	4.17435	-2.31227	-0.46386	-1.73465	0.809205	0.104055	0.81398	-1.90767	-3.52858	-1.08152	-2.74605	1.32384	-0.448218	0.282163	-0.61823	0.482893	0.622087	0.854625	-2.12933	1.06193	2.09574	1.86938	4.33251	-2.3694	-1.27756	-0.619455	0.700311	-0.447494	0.526609	-1.42447	-3.80345	-0.27818	-2.44284	1.72589	-0.220702	0.17728	-1.42055	0.15935	0.242794	2.00971	-2.09747	0.830271	2.34674	1.8115	4.53165	-2.27557	-1.73705	0.540357	1.53219	-0.0160618	0.566075	-1.07661	-2.99917	-7.695905e+01	-2.582078e+02	-3.351668e+02
